Refno Claim,Claim Registration Date,Repair Date,Repairing Dealer,State,Job Number,Vehicle Marketing Type,Product Id,Causal Part Number,Causal Part Name,Function Group 4 Digits,Fgrp 4 Digits Description,Chassis Number,Vehicle Registration Number,Vehicle Mileage On Claim (km),Number OfRepairs,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment,Company,Delivery Importer,Credit Date,Debit Code,Credit Period,Model_,Year
1202035,,29/07/2015,691188,SA,2,FH13 64T,,21531072,"TEMPERATURE SENSOR, COOLANT/OIL TEMP",2846,,135903,,235034,,97.6,13.31,0,110.91,110.91,,,42222,9,42217,FH13,2015
1202030,,31/07/2015,691188,SA,2,FH13 64T,,20524936,"PRESSURE SENSOR, BOOST PRESSURE / TEMP",2846,,135919,,646932,,146.4,178.41,0,324.81,324.81,,,42222,9,42217,FH13,2015
1202030,,31/07/2015,691188,SA,3,FH13 64T,,21426987,"SPEED SENSOR, CAMSHAFT/CRANKSHAFT",2846,,135919,,646932,,122,98.12,0,220.12,220.12,,,42222,9,42217,FH13,2015
132951,,10/08/2015,93385,NSW,1,FH13 64T,,85139619,PRESSURE SENSOR,2846,,135938,,419437,,24.3,224.37,0,248.67,248.67,,,42236,9,42217,FH13,2015
132858,,17/07/2015,93385,NSW,2,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,135938,,406597,,182.25,178.41,0,360.66,360.66,,,42215,9,42186,FH13,2015
132858,,17/07/2015,93385,NSW,3,FH13 64T,,22429384,OIL HOSE,4319,,135938,,406597,,145.8,184.72,0,330.52,330.52,,,42215,9,42186,FH13,2015
129873,,19/06/2015,92767,WA,1,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,135952,,130628,,122,203.24,0,325.24,325.24,,,42222,9,42217,FH13,2015
416074,,7/08/2015,542457,WA,1,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,135981,,119900,,315.9,525.21,584.7,1425.81,1425.81,,,42236,9,42217,FH13,2015
132904,,31/07/2015,93385,NSW,1,FH13 64T,,21984358,"SENSOR, NOX 600 MM, POST-SCR",2846,,135981,,117812,,133.65,708.19,0,841.84,841.84,,,42222,9,42217,FH13,2015
7979904,,18/06/2015,92197,SA,5,FH13 64T,,20722440,"RADIATOR, WIDE",2611,,136037,,423982,,-96.79,0,0,-96.79,-96.79,,,42215,9,42186,FH13,2015
7982749,,4/08/2015,92197,SA,1,FH13 64T,,21030558,"RADIATOR, TCMAOH2",4911,,136037,,454957,,204.34,1062.42,0,1266.76,1266.76,,,42236,9,42217,FH13,2015
2003808,,28/07/2015,880625,VIC,1,FH13 64T,,21030558,"RADIATOR, TCMAOH2",4911,,136039,,200763,,291.6,1090.59,0,1382.19,1382.19,,,42236,9,42217,FH13,2015
7982402,,27/07/2015,93351,QLD,1,FH13 64T,,20524936,"PRESSURE SENSOR, BOOST PRESSURE / TEMP",2846,,136049,,505035,,129.06,224.37,0,353.43,353.43,,,42229,9,42217,FH13,2015
7980658,,12/06/2015,93351,QLD,1,FH13 64T,,21908422,"OIL FILTER HOUSING, THERMAL MANAGEMENT",2222,,136059,,458498,,161.32,1464.28,0,1625.6,1625.6,,,42236,9,42217,FH13,2015
7980335,,28/06/2015,93351,QLD,1,FH13 64T,,21634021,"PRESSURE SENSOR, FUEL / OIL PRESSURE",2846,,136059,,458498,,0,178.41,107.55,285.96,285.96,,,42229,9,42217,FH13,2015
1201958,,14/07/2015,691188,SA,2,FH13 64T,,21634024,"PRESSURE SENSOR, EXHAUST PRESSURE",2846,,136069,,537420,,24.4,224.37,0,248.77,248.77,,,42215,9,42186,FH13,2015
1201958,,14/07/2015,691188,SA,1,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,136069,,537420,,207.4,406.48,0,613.88,613.88,,,42215,9,42186,FH13,2015
1201958,,14/07/2015,691188,SA,3,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,136069,,537420,,61,203.24,0,264.24,264.24,,,42215,9,42186,FH13,2015
7981185,,1/07/2015,93351,QLD,2,FH13 64T,,21985798,"CONTROL VALVE, BY PASS OIL COOLER",2229,,136084,,486429,,161.32,311.26,0,472.58,472.58,,,42215,9,42186,FH13,2015
138226,,7/08/2015,600828,SA,2,FH13 64T,,22095883,"OIL FILTER HOUSING, HDE13 TM ASSY",2222,,136095,,536503,,245.27,1377.64,52.48,1675.39,1675.39,,,42229,9,42217,FH13,2015
