Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
92197.0,,75.28,203.24,0.0,278.52,278.52
92197.0,,75.29,407.31,0.0,482.6,482.6
92197.0,,10.76,2.89,0.0,13.65,13.65
92197.0,,53.77,0.0,0.0,53.77,53.77
766085.0,,1322.1,6032.16,0.0,7354.26,7354.26
766085.0,,172.89,208.74,1.31,382.94,382.94
92767.0,,329.4,178.92,360.0,868.32,868.32
92197.0,,150.57,60.42,0.0,210.99,210.99
70287.0,,337.59,1349.46,0.0,1687.05,1687.05
70287.0,,65.34,192.4,0.0,257.74,257.74
766085.0,,2034.0,15457.27,230.91,17722.18,17722.18
766085.0,,71.19,178.41,0.0,249.6,249.6
691188.0,,48.8,0.0,0.0,48.8,48.8
766085.0,,40.68,607.61,0.0,648.29,648.29
89540.0,,396.0,815.4,0.0,1211.4,1211.4
89540.0,,846.0,2655.94,475.8,3977.74,3977.74
89540.0,,180.0,1780.59,0.0,1960.59,1960.59
92767.0,,244.0,1283.44,0.0,1527.44,1527.44
92767.0,,-134.2,0.0,0.0,-134.2,-134.2
542457.0,,206.55,122.73,0.0,329.28,329.28
542457.0,,243.0,193.81,584.7,1021.51,1021.51
542457.0,,72.9,447.3,0.0,520.2,520.2
542457.0,,72.9,20.69,0.0,93.59,93.59
542457.0,,243.0,1454.0,0.0,1697.0,1697.0
542457.0,,97.2,2037.59,0.0,2134.79,2134.79
93351.0,,634.55,686.87,0.0,1321.42,1321.42
93351.0,,365.67,480.74,0.0,846.41,846.41
600828.0,,177.13,224.37,0.0,401.5,401.5
92767.0,,73.2,192.4,0.0,265.6,265.6
92767.0,,317.2,414.7,0.0,731.9,731.9
488428.0,,114.4,533.43,0.0,647.83,647.83
93351.0,,1968.15,3478.81,0.0,5446.96,5446.96
93351.0,,-301.14,-1346.3,0.0,-1647.44,-1647.44
93351.0,,0.0,-807.3,0.0,-807.3,-807.3
93351.0,,64.53,112.94,0.0,177.47,177.47
70287.0,,54.45,178.41,0.0,232.86,232.86
488428.0,,208.0,519.97,0.0,727.97,727.97
92767.0,,134.2,145.13,0.0,279.33,279.33
92767.0,,146.4,178.41,0.0,324.81,324.81
488428.0,,468.0,178.41,0.0,646.41,646.41
511728.0,,242.55,444.75,0.0,687.3,687.3
511728.0,,66.15,192.4,0.0,258.55,258.55
92197.0,,75.29,199.9,0.0,275.19,275.19
92767.0,,427.0,269.79,360.0,1056.79,1056.79
691188.0,,109.8,130.75,0.0,240.55,240.55
70287.0,,261.36,1062.42,0.0,1323.78,1323.78
70287.0,,1785.96,1802.66,47.34,3635.96,3635.96
70287.0,,141.57,3040.12,0.0,3181.69,3181.69
92767.0,,122.0,178.41,0.0,300.41,300.41
70287.0,,381.15,481.65,0.0,862.8,862.8
93385.0,,157.95,232.68,0.0,390.63,390.63
93385.0,,461.7,234.44,0.0,696.14,696.14
